,index,Index,Time,Applied torque,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Sensor 1,Sensor 2,Sensor 3,Temp. diff,stan
0,0,2024-01-04 08:37:58+00:00,2024-01-04 08:37:58+00:00,31.784062499999997,0.19375,33.872812499999974,43.91999999999997,24.188750000000017,24.59,0.2393750000000002,65.80187500000001,0.001053,0.000844,0.002469,9.684062499999955,0
1,1,2024-01-04 08:37:59+00:00,2024-01-04 08:37:59+00:00,26.428750000000026,0.1943750000000001,33.96062500000003,36.67718750000002,24.20906250000002,24.64750000000003,0.2375000000000002,66.1146875,0.001184,0.000712,0.00242,9.75156250000001,0
2,2,2024-01-04 08:38:00+00:00,2024-01-04 08:38:00+00:00,22.9746551724138,0.1812068965517241,33.99517241379311,32.7239655172414,24.207241379310364,24.681034482758605,0.2368965517241381,65.90844827586203,0.001028,0.000744,0.002316,9.787931034482742,0
3,3,2024-01-04 08:38:02+00:00,2024-01-04 08:38:02+00:00,20.45730158730158,0.1707936507936507,34.129523809523846,28.77142857142857,24.21952380952383,24.703650793650787,0.231746031746032,66.01650793650789,0.001185,0.000807,0.002343,9.910000000000014,0
4,4,2024-01-04 08:38:03+00:00,2024-01-04 08:38:03+00:00,19.980625,0.1771875,34.09687499999999,28.983437499999997,24.221875000000026,24.676250000000003,0.2325000000000003,66.014375,0.001104,0.000808,0.002342,9.874999999999968,0
5,5,2024-01-04 08:38:04+00:00,2024-01-04 08:38:04+00:00,19.98750000000001,0.1878125,34.1028125,29.87656249999999,24.23375000000001,24.67031250000003,0.2337500000000002,66.09062500000002,0.001051,0.000682,0.002291,9.869062499999988,0
6,6,2024-01-04 08:38:06+00:00,2024-01-04 08:38:06+00:00,20.05217391304348,0.188695652173913,34.13043478260869,29.21434782608696,24.259130434782605,24.68608695652174,0.2369565217391306,66.07956521739132,0.001065,0.000819,0.002298,9.871304347826085,0
7,7,2024-01-04 08:38:07+00:00,2024-01-04 08:38:07+00:00,20.293571428571436,0.1775,34.129999999999995,28.226071428571423,24.260357142857146,24.692499999999995,0.2346428571428573,66.23142857142857,0.001054,0.00064,0.002289,9.869642857142852,0
8,8,2024-01-04 08:38:08+00:00,2024-01-04 08:38:08+00:00,19.8996,0.1707999999999999,34.128,28.398000000000007,24.2696,24.6888,0.2340000000000001,66.0592,0.001194,0.000743,0.002235,9.858400000000003,0
9,9,2024-01-04 08:38:10+00:00,2024-01-04 08:38:10+00:00,20.05275862068965,0.1855172413793103,34.20655172413793,29.13413793103448,24.30655172413792,24.698620689655176,0.2334482758620691,66.2006896551724,0.000993,0.000725,0.002275,9.90000000000001,0
10,10,2024-01-04 08:38:11+00:00,2024-01-04 08:38:11+00:00,19.29833333333333,0.1804166666666666,34.156666666666666,28.927083333333343,24.30291666666666,24.71041666666667,0.2333333333333334,66.16458333333335,0.001114,0.000727,0.002243,9.853750000000003,0
11,11,2024-01-04 08:38:12+00:00,2024-01-04 08:38:12+00:00,20.26862068965518,0.1924137931034483,34.207931034482755,28.892758620689666,24.307931034482746,24.69482758620689,0.2317241379310346,65.97724137931034,0.00097,0.000628,0.002182,9.90000000000001,0
12,12,2024-01-04 08:38:13+00:00,2024-01-04 08:38:13+00:00,19.5415625,0.17625,34.222500000000004,28.62718750000001,24.3140625,24.74125,0.2350000000000001,65.83749999999999,0.001066,0.000762,0.002203,9.908437500000002,0
13,13,2024-01-04 08:38:15+00:00,2024-01-04 08:38:15+00:00,19.67375000000001,0.1871874999999999,34.26359375000001,29.168906250000017,24.33749999999997,24.760000000000005,0.2343750000000002,66.2740625,0.001075,0.000663,0.002219,9.926093750000042,0
