,index,Index,Time,Applied torque,Pressure - leak line,Temperature - leak line,Pressure - output,Temperature - suction line,Temperature - output,Flow - leak line,Flow - output,Sensor 1,Sensor 2,Sensor 3,Temp. diff,stan
0,1529,2024-01-05 08:37:36+00:00,2024-01-05 08:37:36+00:00,23.17882352941176,0.1629411764705882,24.62058823529412,33.61882352941176,24.26647058823529,24.870588235294125,0.1317647058823529,65.33176470588235,0.000748,0.000672,0.001159,0.3541176470588318,0
1,1530,2024-01-05 08:37:38+00:00,2024-01-05 08:37:38+00:00,20.64333333333333,0.1549999999999999,24.80777777777778,32.28611111111112,24.30277777777778,24.965555555555557,0.1322222222222221,65.49,0.000898,0.000582,0.001119,0.504999999999999,0
2,1531,2024-01-05 08:37:39+00:00,2024-01-05 08:37:39+00:00,20.479999999999997,0.1674999999999999,24.899375,32.046875,24.340000000000003,25.004375,0.1306249999999999,65.7675,0.000801,0.000673,0.00114,0.5593749999999957,0
3,1532,2024-01-05 08:37:40+00:00,2024-01-05 08:37:40+00:00,20.23333333333333,0.1604761904761905,24.980952380952377,31.32857142857141,24.3752380952381,25.03857142857143,0.1299999999999999,65.87857142857143,0.000752,0.000644,0.001101,0.6057142857142779,0
4,1533,2024-01-05 08:37:42+00:00,2024-01-05 08:37:42+00:00,19.595555555555556,0.1527777777777778,25.087222222222223,30.58,24.42722222222223,25.07777777777777,0.1299999999999999,65.31444444444443,0.000671,0.000536,0.001042,0.659999999999993,0
5,1534,2024-01-05 08:37:43+00:00,2024-01-05 08:37:43+00:00,19.868571428571432,0.169047619047619,25.21857142857143,30.729523809523805,24.46190476190477,25.09952380952381,0.1309523809523809,65.6857142857143,0.000819,0.000748,0.001133,0.7566666666666642,0
6,1535,2024-01-05 08:37:44+00:00,2024-01-05 08:37:44+00:00,19.924375,0.168125,25.255625,30.9,24.500624999999992,25.135,0.135,65.78874999999998,0.000744,0.000614,0.001086,0.7550000000000061,0
7,1536,2024-01-05 08:37:46+00:00,2024-01-05 08:37:46+00:00,19.89470588235293,0.1658823529411764,25.44470588235295,31.342941176470585,24.55470588235294,25.194117647058828,0.1299999999999999,65.83823529411765,0.00081,0.00058,0.001045,0.8900000000000077,0
8,1537,2024-01-05 08:37:47+00:00,2024-01-05 08:37:47+00:00,19.727894736842103,0.1594736842105263,25.50894736842105,31.262631578947367,24.57842105263157,25.25052631578947,0.1299999999999999,65.73315789473685,0.000786,0.000708,0.001061,0.930526315789482,0
9,1538,2024-01-05 08:37:48+00:00,2024-01-05 08:37:48+00:00,19.561162790697665,0.1530232558139534,25.60302325581396,30.60581395348837,24.60046511627908,25.283255813953485,0.1309302325581394,65.46720930232556,0.000749,0.000667,0.00104,1.0025581395348802,0
